"","participant","context","environment","nLL","kernel","acq","R2","kError","lambda","beta","tau","p","ModelName","contextOrder","meanScore"
"45",109,"Conceptual","Rough",637.358865188797,"BMT","UCB",0.103787062305561,1.12240432216428,NA,0.0067379469990864,0.112297797685488,NA,"BMT-UCB","Spatial First",60.585
"46",109,"Spatial","Rough",676.846420509133,"RBF","UCB",0.0482622082729315,NA,0.962434905343126,0.00673794699911012,0.146230504737429,NA,"RBF-UCB","Spatial First",58.41
"47",109,"Spatial","Rough",680.974545234338,"SimKernel","UCB",0.0424575054764162,NA,0.704300358520226,0.00673794699937871,0.137460004733738,0.000100000028413987,"SimKernel-UCB","Spatial First",58.41
"48",109,"Spatial","Rough",634.118296982668,"BMT","UCB",0.108343740356872,11.4135141134528,NA,0.00673794699910885,0.0112487179471614,NA,"BMT-UCB","Spatial First",58.41
"49",11,"Conceptual","Smooth",341.859790622221,"BMT","UCB",0.519298806422985,2.67998028783216,NA,0.0390147277580819,0.0564663716500641,NA,"BMT-UCB","Spatial First",83.02
"50",11,"Conceptual","Smooth",352.166128539489,"RBF","UCB",0.504806698622821,NA,0.738788697345841,0.0139286398251666,0.0788771355078242,NA,"RBF-UCB","Spatial First",83.02
"51",11,"Conceptual","Smooth",347.610048597285,"SimKernel","UCB",0.51121316444983,NA,0.730916413358162,0.00673794713403749,0.0757306421742144,0.791633880656511,"SimKernel-UCB","Spatial First",83.02
"52",11,"Spatial","Smooth",383.679864989422,"BMT","UCB",0.460494114513463,2.44031323886914,NA,0.00673794699908759,0.0693312628769625,NA,"BMT-UCB","Spatial First",82.68
"53",11,"Spatial","Smooth",422.127278597891,"RBF","UCB",0.406431840685057,NA,0.818376084670776,0.115048457842182,0.0676173888519021,NA,"RBF-UCB","Spatial First",82.68
"54",11,"Spatial","Smooth",408.825517925567,"SimKernel","UCB",0.425135918810841,NA,0.616865280074783,0.122295237923744,0.0653673557124216,1.17955985214846,"SimKernel-UCB","Spatial First",82.68
"55",110,"Conceptual","Rough",373.076781239396,"BMT","UCB",0.475403487168719,1.51539371542966,NA,0.00673794699908554,0.0723703648305519,NA,"BMT-UCB","Conceptual First",82.68
"56",110,"Conceptual","Rough",355.182187242136,"RBF","UCB",0.500565711358358,NA,0.862360409098496,0.0193505127581835,0.0732509370463185,NA,"RBF-UCB","Conceptual First",82.68
"57",110,"Conceptual","Rough",355.567722538987,"SimKernel","UCB",0.50002359648423,NA,0.710110361501133,0.0279194755376701,0.0719680687570155,1.42910785317914,"SimKernel-UCB","Conceptual First",82.68
"58",110,"Spatial","Rough",308.37829334378,"BMT","UCB",0.566378328923125,3.07878835806875,NA,0.0758706157186784,0.0366912367248001,NA,"BMT-UCB","Conceptual First",83.59
"59",110,"Spatial","Rough",280.427622150275,"RBF","UCB",0.605680760424477,NA,0.75145517419335,0.206917861892006,0.0321495860324506,NA,"RBF-UCB","Conceptual First",83.59
"60",110,"Spatial","Rough",274.009331530277,"SimKernel","UCB",0.614705746826481,NA,0.546877959801251,0.216935140558336,0.0298559935746999,1.29660781350675,"SimKernel-UCB","Conceptual First",83.59
"61",111,"Conceptual","Smooth",436.924950897809,"BMT","UCB",0.385624308088769,2.26595611641901,NA,0.00673794699908674,0.0756735903075515,NA,"BMT-UCB","Spatial First",84.92
"62",111,"Conceptual","Smooth",418.00718244178,"RBF","UCB",0.412225254225415,NA,0.775907730674541,0.0651925115752049,0.0831572791192547,NA,"RBF-UCB","Spatial First",84.92
"63",111,"Conceptual","Smooth",405.257652232982,"SimKernel","UCB",0.430152821482624,NA,0.675111177483695,0.0713851735618262,0.0744039846497912,0.564655832735715,"SimKernel-UCB","Spatial First",84.92
"64",111,"Spatial","Smooth",481.723721375585,"BMT","UCB",0.322631165782521,3.00989917656806,NA,0.146480201102861,0.0337670345572313,NA,"BMT-UCB","Spatial First",84.475
"65",111,"Spatial","Smooth",451.566056278154,"RBF","UCB",0.365036929798949,NA,1.29799228340974,0.0456381665078072,0.0700479941887344,NA,"RBF-UCB","Spatial First",84.475
"66",111,"Spatial","Smooth",448.647912133358,"SimKernel","UCB",0.369140235925943,NA,0.970678059304972,0.078178081030829,0.063205925784107,1.07539631609993,"SimKernel-UCB","Spatial First",84.475
