"","participant","context","environment","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","p","roundnLL","contextOrder","meanScore"
"11",1,"Conceptual","Rough",9,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.272470267614805,0.222764845460851,0.0412040739157398,0.476069439172339,35.4868357718625,"Spatial First",81.535
"12",1,"Conceptual","Rough",1,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.399242724365614,0.213545522066532,0.0368715158535082,0.629768416063442,103.585873300322,"Spatial First",81.535
"13",1,"Conceptual","Rough",2,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.288671401651996,0.215593759591745,0.0428475783352139,0.473349681316748,30.0960530835523,"Spatial First",81.535
"14",1,"Conceptual","Rough",3,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.306055116781576,0.213557077357643,0.0441352241852908,0.532522350534795,21.4100184220869,"Spatial First",81.535
"15",1,"Conceptual","Rough",4,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.267456875282411,0.207283635093518,0.0440061672941587,0.478678128846635,41.9705316472732,"Spatial First",81.535
"16",1,"Conceptual","Rough",5,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.29767138637748,0.216005218404179,0.0429971267223162,0.498832674708035,27.3391664078298,"Spatial First",81.535
"17",1,"Conceptual","Rough",6,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.266855984167425,0.23914910755404,0.0418761509779573,0.425888356749718,15.8186276204038,"Spatial First",81.535
"18",1,"Conceptual","Rough",7,388.98548946371,0.453033687497992,"SimKernel","UCB",NA,0.241880086552059,0.269512963855524,0.0315971630337097,0.354223753161759,58.2330609324157,"Spatial First",81.535
"19",1,"Conceptual","Rough",8,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.500345082049616,0.227559910340682,0.041475556089138,NA,56.3865048034407,"Spatial First",81.535
"20",1,"Conceptual","Rough",9,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.518956583429476,0.223445716021052,0.0424616150236311,NA,36.2225104248119,"Spatial First",81.535
