"","trial","Environment","Context","meanReward","meanSE","Model"
"66",6,"Rough","Spatial",56.5846756015663,0.290333686721416,"BMT-UCB"
"67",7,"Rough","Spatial",58.6769706470926,0.292801811089598,"BMT-UCB"
"68",8,"Rough","Spatial",60.3991777698598,0.296316042439068,"BMT-UCB"
"69",9,"Rough","Spatial",61.9846908278807,0.297881565922222,"BMT-UCB"
"70",10,"Rough","Spatial",63.8392510052563,0.295006423495667,"BMT-UCB"
"71",11,"Rough","Spatial",65.2348755412209,0.296428356468217,"BMT-UCB"
"72",12,"Rough","Spatial",66.6498375845435,0.29668692005075,"BMT-UCB"
"73",13,"Rough","Spatial",68.1614372408207,0.294564687391631,"BMT-UCB"
"74",14,"Rough","Spatial",69.5980777609729,0.290097836083988,"BMT-UCB"
"75",15,"Rough","Spatial",70.5872610240418,0.29036809899278,"BMT-UCB"
"76",16,"Rough","Spatial",71.7846026672907,0.286217446874284,"BMT-UCB"
"77",17,"Rough","Spatial",72.9078610472943,0.281942051366592,"BMT-UCB"
"78",18,"Rough","Spatial",74.1071325504618,0.278002604820241,"BMT-UCB"
"79",19,"Rough","Spatial",75.2018587401767,0.273640863203495,"BMT-UCB"
"80",20,"Rough","Spatial",75.8946898787602,0.270922794436455,"BMT-UCB"
