"","trial","Environment","Context","meanReward","meanSE","Model"
"68",8,"Rough","Spatial",74.5082048552253,0.259928103241214,"GP-UCB"
"69",9,"Rough","Spatial",76.831800768261,0.253457080858147,"GP-UCB"
"70",10,"Rough","Spatial",78.7171134161725,0.244065174874728,"GP-UCB"
"71",11,"Rough","Spatial",79.9458389912853,0.239527512782181,"GP-UCB"
"72",12,"Rough","Spatial",81.1102232258191,0.2319105049799,"GP-UCB"
"73",13,"Rough","Spatial",82.6499632333171,0.220441274905449,"GP-UCB"
"74",14,"Rough","Spatial",83.4432378797246,0.216871202784497,"GP-UCB"
"75",15,"Rough","Spatial",84.225182256819,0.21384512788082,"GP-UCB"
"76",16,"Rough","Spatial",84.6406303066265,0.215384556910931,"GP-UCB"
"77",17,"Rough","Spatial",85.4890948360126,0.206553134080091,"GP-UCB"
"78",18,"Rough","Spatial",85.5118903096701,0.207395302213878,"GP-UCB"
"79",19,"Rough","Spatial",86.5500209693994,0.200597952079455,"GP-UCB"
"80",20,"Rough","Spatial",86.4343409234398,0.202056578571116,"GP-UCB"
